_id,cod_ccr,nome_ccr,cr_ccr,ch_ccr,desc_matriz,fase_oferta,ccr_obrigatorio,ccr_optativo,nome_campus,cod_uffs,cod_emec,nome_curso,turno,per_ingresso,em_andamento,data_atualizacao
7772bc6a-9cc6-4e75-94e9-9a41f66535a4,GCH686,Relações de gênero,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
86cdf3ff-cbac-45f4-8e37-8d00b6fecc5b,GCH687,Teorias da democracia I,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
0deacc91-f0bd-4155-8eeb-afaeff79464a,GCH688,Teorias da democracia II,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
6b9da8ce-1f07-4463-b7ba-1e2718f64392,GCH689,Antropologia política,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
92296de3-6552-4bff-9f02-a5ccca02b8e4,GCH690,Antropologia da música,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
080589ae-42d1-4945-a909-6f0a4d3bb87e,GCH691,Etnologia indígena,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
581d598f-3444-4f53-90ce-6e7ee6b46c12,GCH692,Educação popular,4,60,101-CIÊNCIAS SOCIAIS - LIC - LARANJEIRAS DO SUL - 2020,0,Não,Sim,Laranjeiras do Sul,2713,1503885,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
ac96f9d3-8572-4e66-94d1-732ddde56e15,GCH692,Educação popular,4,60,102-CIÊNCIAS SOCIAIS - BAC - LARANJEIRAS DO SUL - 2020,0,Não,Sim,Laranjeiras do Sul,2714,1503886,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
93a15658-9a90-4e50-9b1f-b2ff0e6901b1,GCH692,Educação popular,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
46ecacd3-9c0d-4a55-886a-2d22614f74c1,GCH693,Pensamento político libertário,4,60,67-CIÊNCIAS SOCIAIS - ERECHIM - 2014,0,Não,Sim,Erechim,5742,5000408,CIÊNCIAS SOCIAIS,NOTURNO,Sim,Sim,2021-08-19
