_id,nome_campus,ano,semestre,cod_ccr,nome_ccr,cr_ccr,ch_ccr,id_turma,desc_turma,tem_turma,cod_uffs_curso_turma,curso_turma,fase_turma,lista_docentes_ch,ch_teorica,ch_pratica,vagas_turma,qtd_inscritos,qtd_concluiram,sit_turma,data_atualizacao
44eedea1-4d10-4dc5-97e2-88308a776cb8,Laranjeiras do Sul,2010,2,GLA004,Leitura e produção textual II,4,60,429,Educação do Campo (T1),,2540,"INTERDISCIPLINAR EM EDUCAÇÃO DO CAMPO: CIÊNCIAS NATURAIS, MATEMÁTICA E CIÊNCIAS AGRÁRIAS",2,"[{""docente"":""ALINE PEIXOTO GRAVINA"",""ch_docente"":60}]",0,0,30,20,17,Encerrada,2021-08-19
9e43136f-3a2a-41bf-ac5c-9ad1786532b4,Cerro Largo,2015,1,GCB168,Biogeografia,2,30,9661,Ciências Biológicas - 8ª Fase - Integral – 2015/1,,4200,CIÊNCIAS BIOLÓGICAS,8,"[{""docente"":""DANIELA OLIVEIRA DE LIMA"",""ch_docente"":30}]",0,0,60,46,45,Encerrada,2021-08-19
2f94c3ce-a064-410e-910f-b978f3e2a1ea,Erechim,2011,1,GCS025,O projeto e a obra: visitas,2,30,976,Arquitetura (T1),,5610,ARQUITETURA E URBANISMO,3,"[{""docente"":""MARIA DAS GRACAS VELHO DO AMARAL"",""ch_docente"":30}]",0,0,50,46,36,Encerrada,2021-08-19
afbf86d9-d2b9-4292-9417-c808f01a5b45,Laranjeiras do Sul,2018,2,GEN015,Construção civil e obras hidráulicas,4,60,22022,Engenharia de Aquicultura - 6ª Fase - Integral - 2018/2,,2510,ENGENHARIA DE AQUICULTURA,6,"[{""docente"":""CACEA FURLAN MAGGI CARLOTO"",""ch_docente"":60}]",0,0,50,12,12,Encerrada,2021-08-19
d7c688fb-41ef-4f9b-a0c9-dee364880887,Erechim,2018,2,GCH058,Alfabetização: teoria e prática I,4,60,22834,Pedagogia - 4ª Fase - Noturno - 2018/2	,,5732,PEDAGOGIA,4,"[{""docente"":""ZORAIA AGUIAR BITTENCOURT"",""ch_docente"":60}]",0,0,50,46,42,Encerrada,2021-08-19
64017f41-0ad8-404e-9adc-2196fde37fdf,Realeza,2015,1,GCA100,Etologia e bem-estar-animal,4,60,9771,Medicina Veterinária (Turma B) - 9ª Fase - Integral - 2015/1,,3530,MEDICINA VETERINÁRIA,9,"[{""docente"":""DENISE MARIA SOUSA DE MELLO"",""ch_docente"":45}]",0,0,25,25,25,Encerrada,2021-08-19
e1f5c051-746b-4205-8ba9-cccbd68a4a46,Erechim,2016,2,GCA026,Agroecologia II,4,60,15880,Agronomia - 8ª Fase - Integral - 2016/2,,5502,AGRONOMIA,8,"[{""docente"":""ALTEMIR JOSE MOSSI"",""ch_docente"":60}]",0,0,50,29,28,Encerrada,2021-08-19
7858d430-3e0e-4192-bf36-87161f3ec960,Chapecó,2011,2,GEX006,Estatística básica,4,60,1587,Enfermagem (T2),,1400,ENFERMAGEM,2,"[{""docente"":""ILSON WILMAR RODRIGUES FILHO"",""ch_docente"":60}]",0,0,41,33,32,Encerrada,2021-08-19
2fafa6d7-0c7d-44ab-a6c2-61c886b918c5,Chapecó,2020,1,GLA058,Estágio curricular supervisionado em língua portuguesa IV,6,90,28226,Letras - 9ª fase (Remoto) - 2020/1,,1801,LETRAS - PORTUGUÊS E ESPANHOL,9,"[{""docente"":""CRISTIANE HORST"",""ch_docente"":30},{""docente"":""MARY NEIVA SURDI DA LUZ"",""ch_docente"":60}]",0,0,0,15,12,Encerrada,2021-08-19
a7031cbf-9fe9-4d59-862b-71591ac75ac9,Laranjeiras do Sul,2012,2,GCH011,Introdução ao pensamento social,4,60,2981,Ciências Econômicas - 2ª fase - Integral - 2012/2,,2601,CIÊNCIAS ECONÔMICAS,2,"[{""docente"":""FELIPE MATTOS MONTEIRO"",""ch_docente"":60}]",0,0,58,51,45,Encerrada,2021-08-19
